City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
mayumba,89,1601001214,85,-3.43,10.66,297.22,2.73
puerto carreno,100,1601001214,88,6.19,-67.49,297.85,1.32
iracoubo,98,1601001214,83,5.48,-53.2,299.42,2.79
mandali,0,1601001214,24,33.75,45.55,299.67,2.95
hambantota,75,1601001214,100,6.12,81.12,298.15,3.1
conceicao do araguaia,29,1601001215,57,-8.26,-49.26,301.47,0.99
kikwit,100,1601001215,95,-5.04,18.82,295.24,0.92
goma,95,1601001215,72,-1.68,29.22,292.11,1.17
musoma,94,1601001215,65,-1.5,33.8,296.11,2.23
le port,0,1601001215,72,-20.94,55.29,290.15,1
grindavik,0,1601001215,74,63.84,-22.43,274.15,4.6
do gonbadan,0,1601001216,43,30.36,50.8,295.15,1.45
urdoma,46,1601001216,97,61.75,48.54,281.16,2.38
corrente,24,1601000967,82,-3.74,-43.34,297.02,2.34
oranjestad,20,1601001027,79,12.52,-70.03,303.15,8.2
miranda de ebro,40,1601001216,81,42.69,-2.95,283.15,4.6
beloha,0,1601001216,82,-25.17,45.05,288.79,3.94
gallup,1,1601001124,12,35.53,-108.74,297.15,1.5
meulaboh,86,1601001217,69,4.14,96.13,301.93,0.5
puerto madero,90,1601001217,100,14.72,-92.42,298.15,2.6
ambunti,100,1601001217,73,-4.24,142.84,302.45,1.85
pisco,1,1601001217,87,-13.7,-76.22,289.26,7.2
beringovskiy,98,1601001217,95,63.05,179.32,275.86,6.39
klimovo,78,1601001187,56,52.38,32.19,285.01,3.54
dakar,40,1601001114,94,14.69,-17.44,297.15,1.5
